162,Add_2020,Add_7200,Ar_7/229,Manuscrit_4122,Or_2313,Sachau_162,Sado_no_9,Syr_80
,ܘܠܘܩܕܡ,,,ܘܠܘܩܕܡ,,,ܘܠܘܩܕܡ,ܘܠܘܩܕܡ
,ܐܒܗ,,,ܐܒܐܡܬܐܟܠ܆,,ܐܒܗ,ܐܒܗ,ܐܒܗ
,ܡܬܐ̱ܟܠ܀,,,,,ܡܬܐܟܠ܀,ܡܬܐ̱ܟܠ܂܂,ܡܬܐ̱ܟܠ܂
,ܒܪܝ,,ܒܪܝ,ܒܪܝ,,ܒܪܝ,,ܒܪܝ
,ܐܪܟܢ,,ܐܪܟܢ,ܐܪܟܢ,,ܐܪܟܢ,ܐܪܟܢ,ܐܪܟܢ
,ܥܝ̈ܢܝܟ,,ܥܝܢ̈ܝܟܝܠܬܚܬ܂,ܩܠܟ܆ܡܛܠܕܠܐ,,ܥܝܢܟܠܬܚܬ,ܥܝܢܝܟ̈ܡܛܠܕܠܩܠܐܪܡܐܡܬܒܥܐ,ܩܠܟ܆ܡܛܠܕܠܐ
,ܘܐܡܟ,,ܘܐܡܟ,,,ܘܐܡܟ,,
,ܩܠܟ܂ܘܚܘܪܬܚܝܬܥܝ̈ܢܝܟ܂ܡܛܠܕܠܘ,,ܩܠܟܘܗܘܝܡܛܟܣܐܘܠܐܙܠܝܠܐ,,,ܩܠܟܘܗܘܝܡܛܟܣܐܘܠܐܙܠܝܠܐ,,
,ܒܩܠܐܪܡܐ,,٩܆,ܒܩܠܐܪܡܐ,,,,ܒܩܠܐܪܡܐ
,ܡܬܒܢܐ,,ܘܠܐܬܪܝܡܩܠܟܒܫܘܒܗܪܐ܂ܡܛܠ,ܡܬܒܢܐ,,ܘܠܐܬܪܝܡܩܠܟܒܫܘܒܗܪܐ܂ܡܛܠ,ܡܬܒܢܐ,ܡܬܒ̱ܢܐ
,ܒܝܬܐ܂,,,,,,,
,ܕܐܠܘ,,ܕܐܠܘ,,,ܕܐܠܘ,,
ܒܩܠܐ,ܒܩܠܐ,ܒܩܠܐ,ܒܩܠܐ,,,ܒܩܠܐ,,
ܪܡܐ,ܪܡܐ,ܪܡܐ,ܪܡܐ,,,ܪܡܐ܆,,
ܡܬܒܢܐ,ܡܬܒܢܐ,ܡܬܒܢܐ,ܡܬܒܢܐ,,,ܡܬܒܢܐ,,
ܗܘܐ,ܗ̄ܘܐܒܝܬܐ܉,ܗܘܐ,ܗܘܐ,,,ܗܘܐ,,
ܒܝܬܐ܂,,ܒܝܬܐ܂,ܒܝܬܐ܆ܚܡܪ̈ܐ,ܒܝܬܐ,,ܒܝܬܐ,ܒܝܬܐ,ܒܝܬܐ܂
