430,syr_422,syr_434,syr_611,syr_612
ܘܟܕܢܦܩ̣ܛܒܐܕܩܛܠܝ,ܘܟܕܢܦܩܛܒܐ,,ܘܟܕܢܦܩܛܒܐ,ܘܟܕܢܦܩܛܒܐ
ܒܐܬܘܪ,ܒܐܬܘܪ,,ܒܐܬܘܪ,ܒܐܬܘܪ
ܘܢܝܢܘܐܐܪܩܕܘܥܠܝܘܒܟܘ,ܘܢܝܢܘܐ܂,,ܘܢܝܢ̈ܘܐ܂,ܘܢܝܢܘܐ܂
,ܐܝܠܠܘ,,ܐܝܠܠܘ,ܐܝܠܠܘ
,ܘܐܟܡܪܘܐܦܝܗ̈ܘܢܥܠܝ܂,,ܥܠܝܘܐܡܪܘ܂ܚܒܠܝܟܐܚܝܩܪܣܦܪܐ,ܥܠܝܘܐܡܪܘ܂ܚܒܠܝܟܐܚܝܩܪܣܦܪܐ
ܘܐܡܪܘ,ܘܐܡܪܘ,,,
ܘܝܠܢܥܠܝܟܐܘ̇ܐܚܝܩܪ܂,ܚ̈ܒܠܝܟܐܚܝܩܪ,,,
ܟܬܘܒܐ,ܟܬܘܒܐ,,,
ܡܗܝܪܐ,ܡܗܝܪܐ,,ܡܗܝܪܐ,ܡܗܝܪܐ
ܘܚܟܝܡܐܛܪܩܐ܂ܘܫܪܐܐܘܚ̈ܕܢ܂ܘܝܠܢܥܠܝܟܡ̣ܢܐܝܟܐܠܢܐ̄ܚܪܢܐ,ܘܝܕܥ,,ܘܝܕܥ,ܘܝܕܥ
,ܣܥܝ̈ܐ܂ܘܝܠܢܘܥܠܝܟܐܝܟܢܐܢܫܟܚ,,ܟܣܝ̈ܬܐ܂,ܟܣܝܬ̈ܐ܂
ܐܟܘܬܟܕܢܩܘܡ,ܐܟܘܬܟܕܢܩܘܡ,,ܡܢܘܢܩܘܡܐܟܘܬܟ܂,ܡܢܘܢܩܘܡܐܟܘܬܟ܂
ܒܕܘܟܬܟ܂ܒܬܪܗܠܝܢ,ܚܠܦܝܟܘܢܐܚܘܕܕܘܟܬܟ܂ܘܩܪܐܕܝܢܣܢܚܪܝܒܡܠܟܐ,,ܗ̇ܝܕܝܢ,ܗܝܕܝܢ
ܩܪܐܡܠܟܐ,,,ܩܪܐܡܠܟܐ,ܩܪܐܡܠܟܐ
ܠܢܐܕܢ,,,ܣܪܚܕܘܡ,ܣܪܚܕܘܡ
,ܠܢܕܢ,,ܠܢܕܢ,ܠܢܕܢ
ܘܐܡܪ,ܘܐܡܪ,,ܘܐܡܪ,ܘܐܡܪ
ܠܗ,ܠܗ,,ܠܗ܂,ܠܗ܂
ܙܠ,ܙܠ,,ܙܠ,ܙܠ
,ܠܟܘܥܒܕ,,ܠܟܘܥܒܕ,ܠܟܘܥܒܕ
,,,ܒܝܬ,ܒܝܬ
,ܒܟܬܐ,,,
,,,ܒܟܬܐ,ܒܟܬܐ
,ܘܡܪܩܘܕܬܐܠܐܚܝܩܪܝܠܘܕܟܘܐܬ݁ܬܢܚܘܐܬܐܒ̄ܠ,,,
,,,ܠܐܒܘܟܐܚܝܩܪܐܝܟܥܝܕܐ,ܠܐܒܘܟܐܚܝܩܪܐܝܟܥܝܕܐ
,,,ܕܐܢ̈ܫܐ܂ܘܢܦ̣ܩ,ܕܑ̄ܢܫ̈ܐ܂ܘܢܦܩ
,,,ܢܕܢܘܐܬܐܠܒܝܬܐܘܠܐܣܟ,ܢܕܢܘܐܬܐܠܒܝܬܐܘܠܐܣܟ
ܥܒܕܒܝܬ,,,ܥܒܕܒܝܬ,ܥܒܕܒܝܬ
ܒܟ̈ܐܕܚܠܟ,,,ܒܟܬܐ܂,ܒܟܬܐ܁
ܘܒܟܝܥܠܘܗܝ܂ܘܟܕܐܬܐ,ܘܒܟܝܥܠܘܗܝ܂ܘܟܕܐܬܐ,,,
ܢܐܕܢܣܟܠܐ,ܢܕܢܙܠܝܠܐ,,,
ܘܩܫܐܠܒܐ܂ܠܐܒܟܐ,ܘܩܫܐܠܒܐ܂ܠܐܒܟܐ,,,
ܘܐܦܠܐܐܝܬܝܕܘܟܪܢܝܥܠܦܘܡܗ܂,ܘܠܐܐܟܪܝܥܒܪܥܘܗܕܢܐܒܦܘܡܗ܂,,,
ܐܠܐܟܢܫܠܗ,ܐܠܐܟܢܫܠܗ,,ܐܠܐܟܢܫܠܗ,ܐܠܐܟܢܫܠܗ
ܐ̄ܢܫܐ,ܐ̄ܢܫܐ,,ܐ̄ܢܫ̈ܐܒܝܫ̈ܐܘܐܣܘ̈ܛܐ܂,ܐ̄ܢܫ̈ܐܒܝܫ̈ܐܘܐܣܘ̈ܛܐ܂
ܥܘ̈ܠܐܘܓܝܪ̈ܐ,ܓܝܪ̈ܐܘܡ̈ܚܒ݁ܠܐܫܪܝܘ,,,
ܘܫܪܝܘ,,,ܘܫܪܝܘ,ܘܫܪܝܘ
ܐܟܠܝܢ,ܐܟܠܝܢ,,ܐܟܠܝܢ,ܐܟܠܝܢ
,,,,ܐܟܠ
ܘܫܬܝܢ,ܘܫܬܝܢ,,ܘܫܬܝܢ,ܘܫܬܝܢ
ܘܪܩܕܝܢ܂,ܘܪܩܕܝܢ,,ܘܪܩܕܝܢ,ܘܪܩܕܝܢ
,ܘܙܡܪܝܢܘܪܘܝܢ܂,,ܘܙܡܪܝܢ܂,ܘܙܡܪܝܢ܂
ܘܫܪܝ,ܘܫܪܝ,,ܘܫܪܝ,ܘܫܪܝ
ܢܐܕܢܡܚܐܥܒܕܝ̈,ܗܟܝܠ,,,
,ܢܕܢܐܚܕ,,ܢܕܢܐܚܕ,ܢܕܢܐܚܕ
,ܥܒ̈ܕܝ,,ܐܡܗ̈ܬܝ,ܐܡܗܬ̈ܝ
ܘܐܡ̈ܗܬܝ,ܘܐܡ̈ܗܬܝ,,ܘܡܥܪܛܠ,ܘܡܥܪܛܠ
ܘܡܫܠܚܠܗܘܢܥܪ̈ܛܠܝܐ܂ܘܐܦܠܐܡ̣ܢܐܢَܬܬܝ,ܡܥܪܛܠܠܗܘܢܘܡܢܓܕܠܗܘܢܘܡܚܐܠܗܘܢܘܡܟܪܟܠܗܘܢܒܒܝܫܬܐܘܠܐܡܢܒܪܬ,,ܠܗܘܢ,ܠܗܝܢ
,,,ܘܬܒܥ,ܘܬܒܥ
,,,ܡܢܗܘܢܒܝܫ̈ܬܐ܂,ܡܢܗܝܢܒܝܫܬ̈ܐ܂
,,,ܥܕܡܐܠܒܪܬ,ܥܕܡܐܠܒܪܬ
,ܙܘܓܝܕܪܒܝܬܗܐܝܟܝܠܕܗ̇,,ܙܘܓܝܕܪܒܝܬܗܐܝܟܝܠܕܗ̇,ܙܘܓܝܕܪܒܝܬܗܐܝܟܝܠܕܗ̇
,,,ܠܐ,ܠܐ
ܒܗܬ,ܒܗܬ,,ܒܗܬ,ܒܗܬ
ܗܝܕܐܝܟܒܪܗܕܒܝܬܗ܂,ܡܢܗ܂,,ܡܢܗ̇܂,ܡܢܗ܆
ܐܠܐܨܒܐ,ܐܠܐܨܒܐ,,ܐܠܐܨܒܐ,ܐܠܐܨܒܐ
ܕܢܦܪܣܝܗ܂_ܘܐܢܐ,ܡܣܝܒܐܕܢܦܠܥܡܗܒܚܛܝܬܐ܂ܘܢܓܠܐܦܘܪܣܝܗ̇܂ܘܐܢܐܕܝܢ,,ܕܢܦܪܣܝܗܘܢܕܡܟܥܡܗ̇܂ܐܢܐܐܚܝܩܪܡ̣ܢܬܚܝܬܐܪܥܐܫܡܥܬܩܠܓܥܬܗܘܢܕܒܢܝ̈ܒܝܬܐܡ̣ܢܩܕܡܢܕܢܒܪܝ܂ܘܫܪܝܬܠܡܨܠܝܘܩܕܡܐܠܗܐܘܠܡܬܟܫܦܘܡܛܠܬܗܘܢ܂,ܕܢܦܪܣܝܗܘܢܕܡܟܥܡܗ̇܂ܐܢܐܐܚܝܩܪܡ̣ܢܬܚܝܬܐܪܥܐܫܡܥܬܩܠܓܥܬܗܘܢܕܒܢܝ̈ܒܝܬܐܡ̣ܢܩܕܡܢܕܢܒܪܝ܂ܘܫܪܝܬܠܡܨܠܝܘܩܕܡܐܠܗܐܘܠܡܬܟܫܦܘܡܛܠܬܗܘܢ܂
ܛܠܝܡܐ,ܛܠܝܡܐ,,,
ܫܡܥܢܐܡܘܪ̈ܡܪܐܕܝܠܗܘܢܘܒܟܐ,ܘܪܡܐܒܓܘܛܡܪܐ,,,
,ܘܫܡܥ,,ܘܫܡܥ,ܘܫܡܥ
,ܐ̄ܢܐܡܢܓܕܘܬܥܒܕܝ̈ܒܟܝܗܘܢܘܥܠܝܒܘܬܗܘܢ܂ܟܕܡܬܬܢܚ,,,
ܐ̄ܢܐ,ܐ̄ܢܐ,,,
ܒܚܫܐ܂ܘܒܬܪ,ܘܒܟܐܘܚܐܒ܂ܘܒܬܪܟܢܓܥܝܬܠܘܬ,,,
,ܐܠܗܐ,,ܐܠܗܐ,ܐܠܗܐ
,ܡܪܚܡܢܐܘܨܠܝܬ܂,,ܬܢܚ̈ܬܝ,ܬܢܚܬ̈ܝ
,,,ܕܡ̣ܢܥܘܡܩܝ̈ܗܕܐܪܥܐ܂ܘܫܕܪ,ܕܡ̣ܢܥܘܡܩܝ̈ܗܕܐܪܥܐ܂ܘܫܕܪ
,ܒܬܪ,,ܒܬܪ,ܒܬܪ
ܩܠܝܠܝܘ̈ܡܬܐ,ܩܠܝܠܝܘ̈ܡܬܐ,,ܩܠܝܠܝܘ̈ܡܬܐ,ܩܠܝܠܝܘ̈ܡܬܐ
ܐܬܐ,ܐܬܐ,,ܠܝܒܘܣܡܟܡܣܟܝܢܟܬܝunclear,ܠܝܒܘܣܡܝܟܡܣܟܝܢܟܬܝ
ܠܘܬܝ,ܠܘܬܝ,,ܠܘܬܝ,ܠܘܬܝ
ܝܒܘܣܡܝܟܘܫܐܠܒܫܠܡܝ܆,ܝܒܘܣܝܡܟܡܢܬ݁,,,
,ܘܒܝܐܢܝ,,ܘܒܝܐܢܝ,ܘܒܝܐܢܝ
ܘܡܠܐ,ܘܡܠܐ,,ܘܡܠܐ,ܘܡܠܐ
ܒܠܒܝ܆,ܒܠܒܝ܂,,ܒܠܒܝ܂,ܒܠܒܝ܂
ܘܐܝܬܝ,ܘܐܝܬܝ,,ܘܐܝܬܝ,ܘܐܝܬܝ
ܠܝ,,,ܠܝ,ܠܝ
ܠܚܡܐ,ܠܚܡܐ,,ܠܚܡܐ,ܠܚܡܐ
ܘܡ̈ܝܐ܂ܘܟܕܢܦܩܐܡܪܬܠܗܒܥܘܐܦܡ̣ܢܐܠܗ̈ܐܕܐܓܗܐܘܐܦܘܩܡ̣ܢ,ܘܡܝ̈ܐ܂ܘܟܕ,,ܘܡܝ̈ܐ܂ܘܟܕ,ܘܡܝ̈ܐ܂ܘܟܕ
,ܩܡ,,ܒܥܐ,ܒܥܐ
ܕܘܟܬܐܗܕܐ܂,,,,
ܦܢܝܐܠܗ̈ܐܡܦܨܝܢܠܟ܂ܘܒܬܪܟܢ,ܠܡܐܙܠ,,ܠܡܐܙܠ,ܠܡܐܙܠ
,ܐܡܪ̱ܬܠܗ,,ܐܦܝܣܬܗܕܢܨܠܐ,ܐܦܝܣܬܗܕܢܨܠܐ
,ܠܐܠܗܐܕܢܦܪܩܢܝܡ̣ܢ,,ܠܐܠܗܐܕܢܦܪܩܢܝܡ̣ܢ,ܠܐܠܗܐܕܢܦܪܩܢܝܡ̣ܢ
,,,ܕܘܟܬܐܗܕܐ܂,ܕܘܟܬܐܗܕܐ܂
,ܗܕܐܕܘܟܬܐ܂ܘܩܪܐܕܝܢܘܐܡܪ,,,
,,,ܘܨܠܝܘܐܡܪ܂,ܘܨܠܝܘܐܡܪ܂
,ܐܘܐܠܗܐܡܪܚܡܢܐ,,ܐܘܐܠܗܐܡܪܚܡܢܐ,ܐܘܐܠܗܐܡܪܚܡܢܐ
,ܘܛܒܐܘܡܫܒܚܐܐܬ݁ܕܟܪ,,ܘܡܫܒܚܐ܂ܐܬܕܟܪ,ܘܡܫܒܚܐ܂ܐܬܕܟܪ
,ܠܐܚܝܩܪܕܡܣܒܪ,,ܠܐܚܝܩܪܕܡܣܒܪ,ܠܐܚܝܩܪܕܡܣܒܪ
,,,ܕܡܣܒܪ,
,ܒܟ,,ܒܟ,ܒܟ
ܫܡܥ,ܫܡܥ,,ܘܦܨܝܗܝܡ̣ܢܗܢܐܚܒܘܫܝܐ܂ܟܕܕܝܢܫܡܥܦܪܥܘܢ,ܘܦܨܝܗܝܡ̣ܢܗܢܐܚܒܘܫܝܐ܂ܟܕܕܝܢܫܡܥܦܪܥܘܢ
ܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢ,ܨܠܘܬܗܘܩܒܠܬܟܫܦܬܗ܆ܘܟܕ݂ܫܡܥܓܝܪܦܕܥܘܢ,,,
ܕܐܬܩܛܠܐܚܝܩܪ,ܕܐܬܩܛܠܐܚܝܩܪ,,ܕܐܬܩܛܠܐܚܝܩܪ,ܕܐܬܩܛܠܐܚܝܩܪ
ܚܟܝܡܐܛܪܩܐ܂,ܡܗܝܪܐܕܝܕܥ,,ܚܟܝܡܐ܂,ܚܟܝܡܐ܂
ܘܫܪܐ,ܘܫܪܐ,,,
ܐܘܚ̈ܕܢܚܕܝܚܕܘܬܐܪܒܬܐ܂,ܣܥܝ̈ܐ,,,
,ܚܕܘܬܐܪܒܬܐ,,ܚܕܘܬܐܪܒܬܐ,ܚܕܘܬܐܪܒܬܐ
,ܚܕܝ,,ܚܕܝ܂,ܚܕܝ܂
ܘܟܬܒ,ܘܟܬܒ,,ܘܟܬܒ,ܘܟܬܒ
ܐܓܪܬܐ,ܐܓܪܬܐ,,ܐܓܪܬܐ,܇ܐܓܪܬܐ܇
ܘܫܕܪܘܐܡܪ܂,ܫܕ݂ܪܘܐܡܪ,,ܘܫܕܪܘܐܡܪ܂,ܘܫܕܪܘܐܡܪ܂
ܡ̣ܢ,ܡ̣ܢ,,ܡ̣ܢ,ܡܢ
ܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢ܂,ܦܕܥܘܢܡܠܟܐܕܡܨܪܝܢ,,ܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢܠܣܪܚܕܘܡ,ܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢܠܣܪܚܕܘܡ
ܠܣܢܚܪܝܒ,ܠܣܢܚܪܝܒ,,,
ܡܠܟܐܬܘܪ,ܡܠܟܐܕܐܬܘܪ,,ܡܠܟܐܕܐܬܘܪ,ܡܠܟܐܕܐܬܘܪ
ܘܢܝܢܘܐ,ܘܢܝܢܘܐ,,ܘܢܝܢ̈ܘܐ܂,ܘܢܝܢܘܐ܂
ܫܠܡ̈ܐܘܪܘܡܪ̈ܡܐ܂ܬܗܘܐ,ܫܠܡܐ,,ܫܠܡܐ,
,ܘܢܝܚܐܥܠܝܟ܂ܗܘ̤ܝܬ,,ܘܢܝܚܐ܂ܗܘܝܬ,ܘܢܝܚܐ܂ܗܘܝܬ
ܝܕܥܐܘܡܠܟܐ,ܝܕܥܐܘܡܠܟܐ,,ܝܕܥܐܘܡܠܟܐ,ܝܕܥܐܘܡܠܟܐ
ܡܝܩܪܐܐܬܕܓܪܓܬ,ܕܐܬܪܓܪܓܬ,,ܕܐܬܪܓܪܓܬ,ܕܐܬܪܓܪܓܬ
ܕܐܒܢܐܠܝܒܝܪܬܐܒܝܬܫܡܝܐܠܐܪܥܐ܂,ܕܐܒܢܐܠܝܒܝܪܬܐܒܝܬܫܡܝܐܠܐܪܥܐ܂,,ܕܐܒܢܐܠܝܒܝܪܬܐܒܝܬܫܡܝܐܠܐܪܥܐ܂,ܕܐܒܢܐܠܝܒܝܪܬܐܒܝܬܫܡܝܐܠܐܪܥܐ܂
ܘܒܥܐ,ܘܨܒܐ,,ܘܨܒܐ,ܘܨܒܐ
ܐ̄ܢܐ,ܐ̄ܢܐ,,ܐܢܐ,ܐ̄ܢܐ
,ܓܝܪ,,ܓܝܪ,ܓܝܪ
ܕܬܫܕܪܠܝ,ܕܬܫܕܪܠܝ,,ܕܬܫܕܪܠܝ,ܕܬܫܕܪܠܝ
ܡ̣ܢܠܘܬܟܐܪܕܟܠܐܕܝܕܥܒܢܐܒܝܪܬܐܐܝܟܕܒܥܬܘܢܕܥ,,,ܡ̣ܢ,ܡ̣ܢ
,ܨܐܕܝܟ,,ܨܐܕܝܟ,ܨܐܕܝܟ
ܢܓܝܒܢܝܥܠ,,,,
,ܓܒܪ̈ܐܒܢ̈ܝܐܟܝܬܘܦܣ̈ܘܠܐܕܢܕܥܕܢܒܢܝܗ,,ܓܒܪܐܒܢܝܐܕܢܒܢܝܗ̇,ܓܒܪܐܒܢܝܐܕܢܒܢܝܗ̇
,ܐܟܡܐ,,ܐܟܡܐ,ܐܟܡܐ
,ܕܒܥܐ,,ܕܨܒܐ,ܕܨܒܐ
,ܐ̄ܢܐ܂ܘܕܢܕܥ,,ܐ̄ܢܐ܂ܘܕܢܕܥ,ܐ̄ܢܐ܂ܘܕܢܕܥ
,,,ܢܓܝܒܢܝܥܠ,ܢܓܝܒܢܝܥܠ
,ܕܢܓܒܢܝ,,,
ܟܠ,ܟܠ,,ܟܠ,ܟܠ
ܫܘܐܠܐ,ܫܘܐܠܐ,,ܫܘܐܠܐ܂,ܫܘܐܠܐ܂
ܕܡܫܐܠܢܐܠܗ܂ܘܐܢ,ܕܐܫܐܠܝܘܗܝ܂,,,
,ܘܐܢ,,ܘܐܢ,ܘܐܢ
,ܕܝܢ,,ܬܫܟܚܬܫܕܪ,ܬܫܟܚܬܫܕܪ
ܫܕܪܬ,ܫܕܪܬ,,,
,,,ܠܝ,ܠܝ
,ܠܝ,,,
ܓܒܪܐ,,,ܓܒܪܐܗܟܢܐ܂,ܓܒܪܐܗܟܢܐ܂
,ܐ̄ܢܫ,,ܫܩܠܐ,ܫܩܠܝܗ
ܕܢܒܢܐܒܝܪܬܐ,ܕܢܒܢܐܒܝܪܬܐ,,ܕܡܨܪܝܢܘܟܠܗܘܢܐܬܪ̈ܘܬܗ̇ܕܬܠܬܫܢܝ̈ܢܡܫܕܪܐ̄ܢܐܠܟ܂ܘܐܢܠܐ,ܕܡܨܪܝܢܘܟܠܗܘܢܐܬܪ̈ܘܬܗ̇ܕܬܠܬܫܢܝ̈ܢܡܫܕܪܐ̄ܢܐܠܟ܂ܘܐܢܠܐ
ܘܢܥܒܕܗܘܡܐ,ܘܕܢܥܒܕܘ̄ܡܕܡ,,ܡܫܬܟܚ,
ܕܐܡܪ,ܕܐܡܪ,,ܗܟܢ,ܗܟܢ
ܠܗ܂ܢܫܬܕܪ,ܠܗ܆ܢܫܕܪ,,ܓܒܪܐ܂,ܓܒܪܐ܇
ܠܟܫܩܠܐܕܡܨܪܝܢ,ܠܟܫܩܠܐܕܡܨܪܝܢ,,,
ܘܟܠܗܐܘܚܕܢܐܕܝܠܗ̇,ܘܟܠܐܬܪ̈ܘܬܗܘܬܚܘܡܗ,,,
ܥܕܡܐܠܬܠܬ,ܥܕܡܐܠܬܠܬ,,,
ܫܢ̈ܝܢ܂,ܫܢܝ̈ܢ܂,,,
ܘܐܠܐ,ܘܐܠܐ,,,
ܫܕܪ,ܫܕܪ,,ܫܕܪ,ܫܕܪ
ܠܢ,ܠܢ,,ܥܡܐܝܙܓܕܢܕܠܘܬܟ,ܥܡܐܝܙܓܕܢܕܠܘܬܟ
,ܐܢ̄ܬ,,,
ܥܡ,ܥܡ,,,
ܐܓܪܬܢܫܩ̈ܠܐ,ܫܠܝܚܐܗܢܐܕܫܕܪܢܠܘܬܟ,,,
,ܫܩܠܐ,,ܫܩܠܐ,ܫܩܠܐ
ܕܐܬܘܪܘܢܝܢܘܐܬܠܬ,ܕܐܬܘܪܘܢܝܢܘܐܬܠܬ,,ܕܬܠܬ,ܕܬܠܬ
ܫܢ̈ܝܢ,ܫܢ̈ܝܢ,,ܫܢ̈ܝܢ,ܫܢ̈ܝܢ
ܘܟܕ,,,ܕܐܬܘܪ,ܕܐܬܘܪ
,,,ܘܢܝܢ̈ܘܐ܀,ܘܢܝܢܘܐ܂܂
,ܟܕܕܝܢ,,ܟܕܕܝܢ,ܟܕܕܝܢ
ܡܛܬܐܓܪܬܐ,ܡܛܬܐܓܪܬܐ,,,
ܘܩܪܐܘܗ̇ܩܕܡܡܠܟܐ,ܗܕܐܘܩܪܐܘܗܩܕܡ,,,
ܣܢܚܪܝܒ܂,ܣܢܚܪܝܒ܂,,,
ܩܪܐܠܟܠܗܘܢܚܐܪ̈ܘܗܝܘܚܟܝ̈ܡܐ,ܩܪܐܡܠܟܐ,,ܩܪܐܡܠܟܐ,ܩܪܐܡܠܟܐ
,ܘܟܢܫܟܠܗܘܢ,,ܣܪܚܕܘܡܐܓܪܬܐܗܕܐ܂ܟܢܫܠܟܠܗܘܢ,ܣܪܚܕܘܡܐܓܪܬܐܗܕܐ܂ܟܢܫܠܟܠܗܘܢ
,ܚܐܪ̈ܐ,,ܚܐܪ̈ܐ,ܚܐܪ̈ܐ
,ܘܚܟܝܡ̈ܐ,,ܘܚܟܝ̈ܡܐܘܦܝܠܣܘ̈ܦܐ,ܘܚܟܝܡ̈ܐ
ܘܦܝܠܣܘܦ̈ܐ,ܘܦܝܠܣ̈ܘܦܐܘܚܪܫ̈ܐܘܝܕ̈ܘܥܐܘܐܫ̈ܘܦܐܘܐܣܛܪ̈ܘܢܘܡܘܕܒܡܠܟܘܬܗ܂ܘܩܪܐܕܝܢܗܝܐܓܪܬܐܩܕܡܝܗܘܢ,,,ܘܦܝܠܣܘܦ̈ܐ
ܘܝܕܘܥ̈ܐ,,,,
ܘܚܪ̈ܫܐ,,,ܘܚܪ̈ܫܐ,ܘܚܪ̈ܫܐ
ܕܐܝܬܒܡܠܟܘܬܗ܂ܘܩܪܐܠܗܘܢܐܓܪܬܐ,,,ܘܟܠܕ̈ܝܐ܂,ܘܟܠܕܝܐ܂
ܘܐܡܪܠܗܘܢ܂,ܘܐܡܪܠܗܘܢ܂,,ܘܐܡܪܠܗܘܢ܂,ܘܐܡܪܠܗܘܢ܂
ܡܢ̣ܘܡܢܟܘ̇ܢ,ܐܝܢܐ,,ܡܢܘ,ܡܢܘ
,ܡܢܟܘܢ,,ܡܢܟܘܢ,ܡܢܟܘܢ
,ܐ̄ܢܫ,,ܕܡܫܟܚ,ܡܫܟܚ
ܡܨܐ,ܡܨܐ,,ܢܐܙܠܘܢܓܝܒܠܦܪܥܘܢܡܠܟܐ܂ܘܥܢܘܘܐܡܪܘ,ܢܐܙܠܘܢܓܝܒܠܦܪܥܘܢܡܠܟܐ܂ܘܥܢܘܘܐܡܪܘ
ܕܢܐܙܠ,ܠܡܐܙܠ,,ܠܡܠܟ̇ܐܣܪܚܕܘܡ܂,ܠܡܠܟܐܣܪܚܕܘܡ܆
ܠܡܨܪܝܢܘܢܦܢܐ,ܠܡܨܪܝܢܘܢܦܢܐ,,ܒܫܪܪܐ,ܒܫܪܪܐ
ܦܬܓܡܐܠܦܪܥܘܢ܂ܦܢܝܘܟܠܗܘܢܘܐܡܪܘ܂,ܦܪܥܘܢܡܠܟܐ܂ܥܢܘܘܐܡܪܝܢܠܗ,,,
ܢܕܥ,ܢܕܥ,,ܢܕܥ,ܢܕܥ
,ܗܟܝܠ,,,
ܡܪܢܡܠܟܐܕܗܠܝܢ,ܡܪܢܡܠܟܐܕܗܠܝܢ,,ܡܪܢܡܠܟܐܕܗܠܝܢ,ܡܪܢܡܠܟܐܕܗܠܝܢ
ܫ̈ܘܐܠܐܘܐܘܚ̈ܕܬܐ,ܫܘܐܠ̈ܐܘܣܥܝ̈ܐ,,ܫܘ̈ܐܠܐܘܣܥ̈ܝܐ,ܫܘܐܠ̈ܐܘܣܥܝ̈ܐ
ܠܝܬ,ܠܝܬ,,ܕܐܚܝܩܪܚܟܝܡܐܐܝܬܝܗܘܢ܂ܚܙܝܡܢܘܕܩܐܡܒܕܘܟܬܗ,ܕܐܚܝܩܪܚܟܝܡܐܐܝܬܝܗܘܢ܂ܚܙܝܡܢܘܕܩܐܡܒܕܘܟܬܗ
ܒܢܐ̄ܢܫܕܢܕܠܐܢܝܢ܂ܐܠܐܐܚܝܩܪܗܘ̇ܚܟܝܡܐܛܪܩܐܗܘ̤ܡܨܐܗ̄ܘܐܐܢܘܢ܂,ܐ̄ܢܫܕܢܕܥܐܘܢܣܬܟܠܐܢܘܢ,,,
ܐܠܐ,ܐܠܐ,,,
ܐܝܬ݂,ܐܚܝܩܪܚܟܝܡܐܒܠܚܘܕ݂ܘܗܝܘܕܢܫܪܐܗَܘܐܘܕܩܪܐܗ̄ܘܐܘܢܦܫܩܐܢܘܢܘܚܢܢܓܝܪܠܐܡܨܝܢܢܕܢܕܥܝܘܠܦܢܗܘܝܕܥܬܗ܂ܘܗܫܐܡܢܗܟܝܠܐܝܬ,,,
ܠܟ,ܠܟ,,,
ܢܐܕܢ,ܢܕܢ,,,
ܒܪܚܬܗ,ܒܪܚܬܗ,,,
ܕܗܘ̤,ܗܘ,,,
ܐܠܦܗܝܘܠܦܢܗ,ܐܠܦܗܝܘܠܦܢܗ,,,
ܘܚܟܡܬܗܟܒܪܡܫܟܚܕܢܕܥܗܘܡܐܕܒܐܓܪܬܐ܂,ܘܚܟܡ̱ܬܗ,,,
,ܩܪܝܘܗܝ,,ܩܪܝܘܗܝ,ܩܪܝܘܗܝ
ܗܝܕܝܢܩܪܐܡܠܟܐ,,,,
ܠܢܐܕܢܘܐܬܛܝܒܘܩܪܗ̇ܠܐܓܪܬܐܩܕܡܘܗܝ܂ܦܢܝܢܐܕܢܘܐܡܪܐܘ,ܘܫܐܠܝܗܝܗܢܐܫܘܐܠܐܘܗܘ̤ܢܫܪܐܗܢܐܣܥܝܐܕܚܢܢܠܐܡܨܝܢܢܕܢܦܫܩܝܘܗܝ܂ܘܩܪܐܗܟܝܠܡܠܟܐܢܕܢܘܩܪܐܠܗܗܝܐܓܪܬܐܘܥܢܐܕܝܢܢܕܢܐܡܪ,,ܘܫܐܠܝܗܝ܂,ܘܫܐܠܝܗܝ܂
,,,ܗܝܕܝܢܩܪܐܡܠܟܐ,ܗܝܕܝܢܩܪܐܡܠܟܐ
ܡܪܝܡܠܟܐ,ܡܪܝܡܠܟܐ,,,
ܚܙܐܐܢَܬܕܗܠܝܢܐ̄ܢܫܐܫܛܘܪ̈ܐܐܢܘܢܘܫܢ̈ܝܐ܂,ܚܙܝܬܠܐ̄ܢܫܐܘܫܓܝܢ܂,,ܠܢܕܢܘܐܘܫܛܗܠܐܓܪܬܐܗܝ܂ܘܥܢܐܢܕܢ,ܠܢܕܢܘܐܘܫܛܗܠܐܓܪܬܐܗܝ܂ܘܥܢܐܢܕܢ
,,,ܘܐܡ̣ܪ,ܘܐܡܪ
,,,ܠܣܪܚܕܘܡ܂ܐܘܡܪܝܡܠܟܐ܂ܡܛܥܐܛܥܐܡܠܟܐܦܪܥܘܢ܂,ܠܣܪܚܕܘܡ܂ܐܘܡܪܝܡܠܟܐ܂ܡܛܥܐܛܥܐܡܠܟܐܦܪܥܘܢ܂
ܡܢܘܡܨܐ,ܡܢܘܡܨܐ,,ܡܢܘܡܨܐ,ܡܢܘܡܨܐ
ܒܢܐܒܝܪܬܐ,ܕܢܒܢܐ,,ܠܡܒܢܐ,ܠܡܒܢܐ
,ܒܢܝܢܐ,,ܒܢܝܢܐ,ܒܢܝܢܐ
ܒܝܬ,ܒܝܬ,,ܒܝܬ,
ܫܡܝܐ,ܫܡܝܐ,,ܫܡܝܐ,ܫܡܝܐ
ܠܐܪܥܐ,ܠܐܪܥܐ,,ܠܐܪܥܐ܂ܐܦܠܐ,ܠܐܪܥܐ܂ܐܦܠܐ
