Brit_Libr_Or_9321,Brit_Mus_Add_7209,Cod_Arab_236,DFM_00614,Mingana_Syr_258,Sachau_290_Sachau_339,Vat_sir_159
,صالحيابنيالتصقالي,,مليح,ابني,,ابنى
ياابني,,,ياابني,,,
اخرجقبلالكلّفيالوليمة,,,الألفهمع,,,
,رجلحكيمخايفاللهلتكونمثله,,رجلحكيمخايفاللهلتكونمثله,,,
ولا,,,,,,
,ولا,ولا,,,,
تلبثانتمسحنفسكبالدهانالطيبةليلايصيرلكشجّات_(٢٤),,,ياابنيلاتعاشررجلجاهلأحمق,,,
,تلتصقلرجلجاهلاحمق,معروف,,,,
,شريرليلا,,شريرليلا,,,
,تشبهلهوتتعلم,,تتعلم,,,
,طرايقه,,طرايقه,,,
,وتنبغض,,وتبغض,,,
,منالله,,منالله,,,
,ومنالناس,,والناس,,,
ياابنيمن,يابني,يابني,ياابنيمن,,,
كانتيدهممتلئةفانّهيسمىحكيمًاومنكانتيدهفارغةيسمىجاهلًا_(٢٥),ما,ما,,ما,,
,دامفيرجلك,دامفيرجلك,دامفيرجلك,دامفيرجلك,,
,خف,خفَّدوس,خف,خفافا,,
,اطا,,تخطاودوسعلى,اطا,,
,علي,علي,,علي,,
,الشوك,الشوك,الشوك,الشوك,,
,والدردر,والدردر،,وأعمل,والدردر,,
,واعمل,واعمل,,واعمل,,
,,طريقً,,,,
,,,,لك,,
,طريق,,طريق,طريق,,
,لك,لك,لك,,,
,,,,لبنيكولبني,,
,ولبنيك,ولبنيك,ولبنيك,,,
,وبني,ولبنيّ,,,,
,بنيك,بنيك,,بنيك_,,
يا,يا,يا,يا,يا,,
ابني,بني,بني,ابني,ابني,,
انّيلقداكلتمرائر_وبلعتاشيآءمرّةًفلماجدشيئًاامرّعليّمنالفقر_(٢٦)ياابنيانّيلقدحملترصاصًاوحديدًاومشيتبهمافلميثقلعليّمثلالدين_(٢٧)ياابنيعلّمابنكوعوّدهعلىالجوعوالعطشحتىمثلماترىعينهيدبّربيته_(٢٨),كلكم,مادامالنسيمهادي,وقتاليهب,كل,,
,مايهب,,,مايهب,,
ياابني,,,,,,
انّاعمىالعيونيتعلمسريعًاالطريقفيذهبوياتيبهاهوخيرممنكانقلبهأعمىالذييتركالطريقالمستقيمة_(٢٩),نسيم,,نسيم,نسيم,,
,الفضا,,الفظا,الفضا,,
ياابني,,,,,,
جارقريبخيرمناخٍبعيدوالاسمالصالحخيرمنالجمال_لانالاسم,والبحر,والبحر,والبحر,والبحر,,
,ساكتمن,ساكن_هيي,ساكتمن,ساكتمن,,
,الامواج,,امواجههيّيوعد,الامواج,,
,عدّل,,,عدي,,
,سفينتك,سفينتك,سفينتك,سفينتك,,
,ومركبك,,,ومركبك,,
,الي,الي,الى,الى,,
,المينا,المينا_,المينا,المينا_من,,
,قبلمايتحرك,فكلماتحرك,قبلمايتحرك,قبلمايتحرك,,
,البحر,البحر,البحر,البحر,,
,ويشتجش,وتكترامواجهُوعواصفهُتكون,,ويشتجش_,,
,وتكثر,,وتكثر,وتكثر,,
,موجاته,,موجاته,امواجه,,
,وعواصفه,,,وعواصفه,,
,ويغرقالمركب,,ويغرقالمركب,ويغرقالمركب_,,
